Rain,Moisture,X,Y,Z
0.0,58.0,0.15000000000000568,0.14999999999997726,0.05000000000001137
0.0,58.0,0.09999999999999432,0.14999999999997726,0.05000000000001137
0.0,58.0,0.09999999999999432,0.14999999999997726,0.05000000000001137
0.0,58.0,0.09999999999999432,0.14999999999997726,0.05000000000001137
0.0,58.0,0.09999999999999432,0.09999999999999432,0.05000000000001137
1.3,58.5,0.09999999999999432,0.09999999999999432,0.05000000000001137
2.6,58.7,0.09999999999999432,0.04999999999998295,0.05000000000001137
3.9,57.15,0.09999999999999432,0.04999999999998295,0.05000000000001137
5.2,54.35,0.04999999999999716,0.04999999999998295,0.05000000000001137
6.5,52.0,0.04999999999999716,0.04999999999998295,0.05000000000001137
7.8,61.7,0.0,0.04999999999998295,0.05000000000001137
9.1,70.5,0.04999999999999716,0.04999999999998295,0.05000000000001137
10.4,78.35,0.09999999999999432,0.04999999999998295,0.05000000000001137
11.7,85.75,0.15000000000000568,0.04999999999998295,0.05000000000001137
13.0,92.65,0.20000000000000284,0.04999999999998295,0.05000000000001137
14.3,99.55,0.25,0.09999999999999432,0.05000000000001137
15.6,106.4,0.3499999999999943,0.09999999999999432,0.05000000000001137
16.9,113.2,0.45000000000000284,0.09999999999999432,0.05000000000001137
18.2,119.9,0.5,0.09999999999999432,0.05000000000001137
19.45,126.55,0.5999999999999943,0.04999999999998295,0.0
20.7,133.15,0.6500000000000057,0.0,0.0
21.95,139.7,0.75,0.05000000000001137,0.0
23.2,146.2,0.7999999999999972,0.05000000000001137,0.0
24.5,152.65,0.8499999999999943,0.10000000000002274,0.0
25.8,159.05,0.9500000000000028,0.10000000000002274,0.0
25.75,164.95,1.0,0.15000000000000568,0.05000000000001137
25.7,171.1,1.0499999999999972,0.15000000000000568,0.05000000000001137
25.65,179.0,1.1500000000000057,0.20000000000001705,0.05000000000001137
25.65,188.1,1.25,0.25,0.05000000000001137
25.65,196.75,1.2999999999999972,0.30000000000001137,0.05000000000001137
25.65,193.35,1.3499999999999943,0.35000000000002274,0.05000000000001137
25.65,190.75,1.4000000000000057,0.4000000000000057,0.05000000000001137
25.65,189.1,1.4500000000000028,0.45000000000001705,0.05000000000001137
25.6,187.85,1.5,0.45000000000001705,0.05000000000001137
25.55,187.1,1.5499999999999972,0.45000000000001705,0.05000000000001137
25.5,186.35,1.5999999999999943,0.5,0.05000000000001137
25.45,185.6,1.6500000000000057,0.5,0.09999999999999432
25.45,184.9,1.5999999999999943,0.5,0.09999999999999432
25.45,184.3,1.6500000000000057,0.5,0.09999999999999432
25.45,183.75,1.6500000000000057,0.5,0.09999999999999432
25.5,183.25,1.7000000000000028,0.45000000000001705,0.09999999999999432
24.25,182.75,1.7000000000000028,0.4000000000000057,0.09999999999999432
24.25,182.25,1.7000000000000028,0.45000000000001705,0.09999999999999432
24.25,181.8,1.7000000000000028,0.4000000000000057,0.09999999999999432
24.25,181.4,1.7000000000000028,0.4000000000000057,0.09999999999999432
24.3,180.95,1.75,0.4000000000000057,0.05000000000001137
24.35,180.55,1.7999999999999972,0.35000000000002274,0.05000000000001137
24.4,180.15,1.7999999999999972,0.35000000000002274,0.05000000000001137
24.35,179.8,1.75,0.35000000000002274,0.05000000000001137
24.35,179.45,1.7999999999999972,0.35000000000002274,0.05000000000001137
24.3,179.05,1.75,0.35000000000002274,0.05000000000001137
