Rain,Moisture,X,Y,Z
0,58,124,216,171
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,123,215,170
0,58,123,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,123,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,216,170
0,58,123,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,171
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,215,170
0,58,124,216,170
26,68,124,215,170
26,62,124,216,170
26,27,124,215,170
26,2,124,215,170
26,11,124,215,170
26,252,125,215,170
26,234,125,215,170
26,215,125,215,170
26,206,125,215,170
26,196,125,215,170
26,196,125,215,170
26,195,125,215,170
26,194,126,215,170
26,192,125,215,170
25,191,126,216,170
25,190,125,216,170
25,189,126,216,170
25,188,125,215,170
26,187,125,216,170
26,186,126,216,170
25,186,125,216,171
25,185,125,216,170
25,185,126,216,170
26,184,126,216,170
26,184,125,216,170
26,184,126,216,170
26,182,126,216,170
26,182,126,216,170
25,181,126,215,170
25,181,126,215,170
25,181,126,216,170
25,180,126,215,171
26,180,125,215,170
26,180,126,215,170
25,180,126,216,170
26,180,126,215,170
0,179,126,215,170
25,178,125,216,170
26,178,125,215,170
26,178,126,216,170
26,177,126,216,170
26,177,126,215,170
26,177,126,216,170
25,177,125,216,170
26,177,126,216,170
25,176,125,216,170
26,176,126,215,171
26,176,126,216,170
25,176,126,216,170
0,118,114,216,167
25,131,127,215,169
0,110,127,215,165
0,63,120,215,165
0,47,125,215,161
26,142,133,212,154
26,141,133,212,155
25,140,133,213,154
0,140,133,212,154
26,140,133,213,154
26,140,133,212,154
26,140,133,212,154
26,140,133,212,154
26,140,133,212,154
25,139,133,212,155
25,139,133,212,154
26,138,133,212,154
26,138,133,212,154
25,138,133,212,154
26,138,133,212,154
26,138,133,212,154
26,138,133,212,154
26,2,137,207,157
0,0,107,163,210
0,0,105,163,210
25,2,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
6,0,105,163,210
11,0,105,163,210
9,0,104,163,210
245,0,104,163,210
0,0,104,163,210
8,0,105,163,210
235,0,105,163,210
199,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,105,163,210
0,0,106,163,210
0,0,32,128,192
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,162,210
0,0,104,163,210
0,0,104,163,210
0,0,104,162,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,209
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,209
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,209
0,0,103,163,209
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,209
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
100,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,209
0,0,104,163,210
0,0,103,162,210
0,0,104,163,210
0,0,104,163,209
0,0,104,162,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,209
0,0,104,163,209
0,0,104,163,210
0,0,104,129,192
0,0,104,163,210
0,0,104,163,209
0,0,104,163,210
0,0,104,163,210
0,0,102,163,209
0,0,104,163,210
0,0,103,163,209
0,0,104,163,209
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,103,163,210
0,0,104,163,209
0,0,103,163,210
0,0,104,163,210
0,0,104,163,209
0,0,103,163,209
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,103,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,103,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
0,0,104,163,210
100,0,104,163,210
0,0,104,162,210
0,0,104,162,209
100,0,104,163,210
0,0,104,163,210
0,0,95,163,204
0,0,93,163,204
0,0,94,163,204
0,0,94,163,204
0,0,94,163,204
0,0,93,163,202
0,0,93,163,204
0,0,93,163,204
0,0,93,164,204
0,0,93,163,204
0,0,93,163,204
0,0,94,164,204
0,0,93,163,204
0,0,93,164,204
0,0,93,163,204
0,0,93,163,204
0,0,93,163,204
0,0,93,163,204
0,0,93,163,204
