Rain1,Moisture1,X1,Y1,Z1,Rain2,Moisture2,X2,Y2,Z2,Target
6.2,28.0,0.15000000000000568,0.14999999999997726,0.14999999999997726,0.2,12.55,0.09999999999999432,0.30000000000001137,1.5500000000000114,white
6.2,28.0,0.09999999999999432,0.14999999999997726,0.14999999999997726,0.2,12.55,0.09999999999999432,0.30000000000001137,1.5500000000000114,white
6.2,28.0,0.09999999999999432,0.14999999999997726,0.14999999999997726,0.2,12.55,0.04999999999998295,0.30000000000001137,1.5500000000000114,white
6.2,28.0,0.09999999999999432,0.14999999999997726,0.14999999999997726,0.15,12.55,0.09999999999999432,0.25,1.5500000000000114,white
6.15,28.0,0.09999999999999432,0.14999999999997726,0.14999999999997726,0.15,12.55,0.14999999999997726,0.25,1.5500000000000114,white
6.15,28.0,0.09999999999999432,0.14999999999997726,0.14999999999997726,0.15,12.55,0.25,0.30000000000001137,1.5500000000000114,white
5.95,27.2,1.549999999999983,0.8500000000000227,0.6500000000000057,0.15,12.55,0.29999999999998295,0.35000000000002274,1.5500000000000114,white
5.95,27.2,1.549999999999983,0.8500000000000227,0.6500000000000057,0.15,12.55,0.5,0.25,1.5500000000000114,white
5.95,27.2,1.549999999999983,0.8500000000000227,0.6500000000000057,0.15,12.55,0.5,0.25,1.5999999999999943,white
6.0,27.2,1.549999999999983,0.8500000000000227,0.6500000000000057,0.15,12.55,0.549999999999983,0.30000000000001137,1.5999999999999943,white
6.0,27.2,1.5,0.8500000000000227,0.6500000000000057,0.1,12.55,0.549999999999983,0.20000000000001705,1.5999999999999943,white
6.05,27.2,1.4499999999999886,0.8000000000000114,0.6000000000000227,0.0,12.55,0.5999999999999943,0.15000000000000568,1.5999999999999943,white
6.1,27.2,1.4499999999999886,0.8000000000000114,0.6000000000000227,0.0,12.55,0.5999999999999943,0.15000000000000568,1.5999999999999943,white
6.1,27.2,1.4000000000000057,0.8000000000000114,0.6000000000000227,0.0,12.55,0.5999999999999943,0.15000000000000568,1.5999999999999943,white
6.15,27.2,1.4000000000000057,0.8000000000000114,0.6000000000000227,0.0,12.55,0.5999999999999943,0.20000000000001705,1.5999999999999943,white
6.2,27.2,1.4000000000000057,0.8000000000000114,0.6000000000000227,0.0,12.55,0.5999999999999943,0.20000000000001705,1.5999999999999943,white
6.25,27.2,1.4499999999999886,0.8000000000000114,0.6000000000000227,0.0,12.55,0.6499999999999773,0.20000000000001705,1.5999999999999943,white
6.2,27.2,1.4499999999999886,0.8000000000000114,0.6000000000000227,0.0,12.55,0.6499999999999773,0.20000000000001705,1.5999999999999943,white
