Rain,Moisture,X,Y,Z
0.0,0.0,0.0,0.19999999999998863,0.05000000000001137
0.0,0.0,0.0,0.19999999999998863,0.05000000000001137
0.0,0.0,0.4000000000000057,0.25,0.6999999999999886
0.0,0.0,0.7999999999999972,0.3499999999999943,1.4000000000000057
0.0,0.0,1.1500000000000057,0.4000000000000057,2.0500000000000114
0.0,0.0,1.5,0.44999999999998863,2.6999999999999886
0.0,0.0,1.8499999999999943,0.5500000000000114,3.3499999999999943
0.0,0.0,2.25,0.6500000000000057,4.0
0.0,0.0,2.5999999999999943,0.75,4.650000000000006
0.0,0.0,3.0,0.9000000000000057,5.300000000000011
